frame	cv1	cv2	energy
62900	2.321360	-0.065320	2.076814
95500	1.094690	1.019150	2.082561
41300	-0.349070	-1.926310	2.083482
41100	-0.312830	-1.930330	2.085011
63600	2.355860	-0.093150	2.085906
95700	1.017870	0.721620	2.089344
42900	-0.549360	-2.329000	2.091446
24600	-1.376400	-2.044590	2.092230
42000	-0.595190	-2.308680	2.097089
68700	2.564880	0.641660	2.101747
62000	2.186330	0.126580	2.105126
41200	-0.321600	-2.038580	2.108118
38300	-1.308780	-1.967840	2.112081
88500	1.558560	0.350960	2.114124
69000	2.580920	0.509510	2.123462
78400	2.535240	1.062600	2.136388
89600	1.666280	0.500830	2.136968
92000	1.846380	0.576860	2.143974
75800	2.454620	0.905080	2.151755
65800	2.232340	0.268470	2.158177
91400	1.358550	1.021880	2.175506
76600	2.036090	0.877690	2.186660
24800	-1.095930	-2.101810	2.194827
7300	-4.092880	2.532870	2.194856
73600	2.353360	0.322130	2.197570
95200	1.654400	0.440480	2.200373
70700	2.413570	0.904640	2.201072
58400	1.884260	0.628340	2.205521
34000	-1.068940	-1.867700	2.210570
40900	-0.313330	-1.867340	2.213485
6900	-4.065490	2.490740	2.213498
19800	-0.932630	-2.111340	2.219883
95300	1.663630	0.433560	2.229720
11200	-4.273950	2.741730	2.230237
93000	1.383280	0.799330	2.230884
79000	2.070440	1.426460	2.232408
11300	-4.003640	2.814980	2.244456
19200	-1.003580	-2.057440	2.248630
78500	2.556630	1.077920	2.253404
24100	-1.150120	-2.280050	2.265196
37100	-0.753150	-2.429430	2.269992
25200	-0.902670	-2.356180	2.278629
19500	-0.930110	-2.204940	2.280999
31200	-1.843990	-1.549950	2.284651
36600	-0.577620	-2.111010	2.289751
19700	-0.922290	-2.089400	2.292866
33700	-1.116650	-1.665050	2.297588
37900	-0.751440	-2.435310	2.298607
7600	-4.178870	2.256400	2.300676
94400	1.357450	0.624960	2.308102
84000	2.050520	1.311160	2.318320
8300	-4.153450	2.294430	2.325327
60800	1.783800	0.278360	2.336486
7500	-4.308930	2.436840	2.344836
31000	-1.720810	-1.524870	2.352362
76800	2.397070	0.727680	2.355556
98500	1.500420	0.548130	2.356438
65900	2.403810	0.475840	2.356544
30500	-1.956950	-1.219000	2.357173
70500	2.507010	0.785200	2.357798
30000	-1.437120	-2.020530	2.358238
79700	2.013670	1.642450	2.360127
62600	2.251810	0.172450	2.381952
69700	2.493050	0.416070	2.389196
71400	2.352940	0.868150	2.393008
74100	2.272890	0.765000	2.393806
35900	-0.612950	-2.339800	2.400700
69900	2.632750	0.598250	2.402744
12000	-4.209220	2.549380	2.415423
29100	-1.304820	-1.854350	2.415955
30100	-1.540560	-1.930640	2.426295
8200	-4.385620	2.443720	2.428628
90000	1.401700	0.838690	2.435666
18200	-1.021810	-2.187040	2.450430
92600	1.835150	0.240850	2.452388
17800	-1.044330	-2.136650	2.454169
8700	-4.191520	2.440930	2.456942
69500	2.335960	0.536200	2.458962
18000	-1.019940	-2.208890	2.465101
84100	2.595020	1.009610	2.469391
74900	2.847900	0.602620	2.469841
10100	-4.405430	2.568360	2.471067
89000	1.886630	0.207660	2.478185
73400	2.571300	0.307090	2.483533
70600	2.282780	0.922560	2.485813
57700	2.439910	0.144120	2.486499
9100	-4.140650	2.254560	2.487652
