cancer,infiltrates,,rho,p,adj.p
CESC,MDSC,TIDE,0.183027308,0.002226103,0.005936275
CHOL,T cell CD4+,(non-regulatory)_QUANTISEQ,-0.174068384,0.317279437,0.507950243
CHOL,T cell CD4+,(non-regulatory)_XCELL,-0.156305431,0.369899792,0.554849688
CHOL,T cell CD4+,central memory_XCELL,0.021442874,0.902689536,0.937323974
CHOL,T cell CD4+,effector memory_XCELL,0.346146116,0.041659109,0.119841272
CHOL,T cell CD4+,memory activated_CIBERSORT,-0.153528896,0.378567137,0.556711049
CHOL,T cell CD4+,memory activated_CIBERSORT-ABS,-0.153528896,0.378567137,0.556711049
CHOL,T cell CD4+,memory resting_CIBERSORT,0.064507775,0.712756102,0.834640045
CHOL,T cell CD4+,memory resting_CIBERSORT-ABS,0.229342784,0.185078447,0.354405536
CHOL,T cell CD4+,memory_XCELL,0.053020974,0.762273031,0.867716105
CHOL,T cell CD4+,naive_CIBERSORT,-0.167808988,0.335260253,0.52151595
CHOL,T cell CD4+,naive_CIBERSORT-ABS,-0.167808988,0.335260253,0.52151595
CHOL,T cell CD4+,naive_XCELL,-0.309312048,0.070592902,0.172378017
CHOL,T cell CD4+,Th1_XCELL,-0.115258821,0.509690877,0.672989935
CHOL,T cell CD4+,Th2_XCELL,-0.351852448,0.038191567,0.113251003
CHOL,T cell CD4+,EPIC,0.056812468,0.745814979,0.862134746
CHOL,T cell CD4+,TIMER,0.180171824,0.300339262,0.49617643
CHOL,B cell memory,CIBERSORT,0.097235327,0.578429701,0.725423387
CHOL,B cell memory,CIBERSORT-ABS,0.117695842,0.50072046,0.664131849
CHOL,B cell memory,XCELL,-0.05956482,0.733936074,0.83626899
CHOL,B cell naive,CIBERSORT,-0.012251619,0.94431167,0.975022335
CHOL,B cell naive,CIBERSORT-ABS,0.074181415,0.671923785,0.79049857
CHOL,B cell naive,XCELL,-0.234468197,0.175181,0.318510908
CHOL,B cell plasma,CIBERSORT,-0.135021033,0.439323288,0.604077338
CHOL,B cell plasma,CIBERSORT-ABS,-0.085121484,0.62683911,0.761018727
CHOL,B cell plasma,XCELL,-0.215278571,0.214245468,0.371750128
CHOL,B cell,EPIC,0.082167516,0.638890773,0.768286373
CHOL,B cell,MCPCOUNTER,0.13580462,0.436647728,0.603186065
CHOL,B cell,QUANTISEQ,0.19254505,0.267796494,0.430286922
CHOL,B cell,TIMER,0.141187779,0.418510808,0.590108003
CHOL,B cell,XCELL,0.037460095,0.830825309,0.904623545
CHOL,Class-switched memory B cell,XCELL,0.093862345,0.591739706,0.73724947
CHOL,T cell regulatory (Tregs),CIBERSORT,0.183191312,0.292175433,0.456899854
CHOL,T cell regulatory (Tregs),CIBERSORT-ABS,0.242273761,0.160840981,0.298873217
CHOL,T cell regulatory (Tregs),QUANTISEQ,-0.000359157,0.99836623,0.99836623
CHOL,T cell regulatory (Tregs),XCELL,-0.175391693,0.313556827,0.478520459
CHOL,Macrophage/Monocyte,MCPCOUNTER,-0.251215188,0.14547668,0.265871174
CHOL,Monocyte,CIBERSORT,0.415829508,0.012976935,0.04083199
CHOL,Monocyte,CIBERSORT-ABS,0.498057136,0.00232909,0.009258132
CHOL,Monocyte,MCPCOUNTER,-0.251215188,0.14547668,0.265871174
CHOL,Monocyte,QUANTISEQ,-0.236710727,0.170971202,0.306591216
CHOL,Monocyte,XCELL,0.152604168,0.381480054,0.555565677
CHOL,Neutrophil,CIBERSORT,-0.282632221,0.099952173,0.212844583
CHOL,Neutrophil,CIBERSORT-ABS,-0.208370488,0.229671217,0.38439709
CHOL,Neutrophil,MCPCOUNTER,0.195110708,0.261349848,0.414165707
CHOL,Neutrophil,QUANTISEQ,0.173769551,0.318123894,0.47869116
CHOL,Neutrophil,TIMER,-0.146750381,0.400221952,0.575017683
CHOL,Neutrophil,XCELL,-0.0660435,0.706217634,0.823632791
CHOL,Macrophage M0,CIBERSORT,0.105805637,0.545229812,0.722175252
CHOL,Macrophage M0,CIBERSORT-ABS,0.093225924,0.59426602,0.760255036
CHOL,Macrophage M1,CIBERSORT,0.005253475,0.97610582,0.986937862
CHOL,Macrophage M1,CIBERSORT-ABS,0.048896553,0.780293175,0.88669679
CHOL,Macrophage M1,QUANTISEQ,0.036238816,0.836265005,0.912289096
CHOL,Macrophage M1,XCELL,-0.090429455,0.60542208,0.766357063
CHOL,Macrophage M2,CIBERSORT,-0.092201604,0.598341974,0.763616922
CHOL,Macrophage M2,CIBERSORT-ABS,0.082445288,0.637753567,0.795534595
CHOL,Macrophage M2,QUANTISEQ,0.030819665,0.860489278,0.926918433
CHOL,Macrophage M2,TIDE,-0.041730059,0.811868725,0.903749972
CHOL,Macrophage M2,XCELL,0.003740827,0.982984541,0.988407983
CHOL,Macrophage,EPIC,0.070953525,0.685453195,0.832534245
CHOL,Macrophage,TIMER,0.132917246,0.446550892,0.63191164
CHOL,Macrophage,XCELL,-0.131772354,0.450511141,0.634522734
CHOL,Macrophage/Monocyte,MCPCOUNTER,-0.251215188,0.14547668,0.300986234
CHOL,Myeloid dendritic cell activated,CIBERSORT,0.278715798,0.104946285,0.247866554
CHOL,Myeloid dendritic cell activated,CIBERSORT-ABS,0.295245317,0.085091179,0.215885042
CHOL,Myeloid dendritic cell activated,XCELL,0.099516025,0.569506736,0.750285938
CHOL,Myeloid dendritic cell resting,CIBERSORT,0.24117208,0.162811951,0.340729505
CHOL,Myeloid dendritic cell resting,CIBERSORT-ABS,0.23304518,0.177890315,0.361827892
CHOL,Myeloid dendritic cell,MCPCOUNTER,0.199982006,0.249393599,0.449911065
CHOL,Myeloid dendritic cell,QUANTISEQ,-0.205164349,0.237080317,0.436470942
CHOL,Myeloid dendritic cell,TIMER,0.045922601,0.793357573,0.891440903
CHOL,Myeloid dendritic cell,XCELL,0.114290001,0.513279144,0.695347973
CHOL,NK cell activated,CIBERSORT,0.117659452,0.500853818,0.685463134
CHOL,NK cell activated,CIBERSORT-ABS,0.06508236,0.710307375,0.845893005
CHOL,NK cell resting,CIBERSORT,-0.077615887,0.65763906,0.821509502
CHOL,NK cell resting,CIBERSORT-ABS,-0.056149911,0.748683261,0.868424203
CHOL,NK cell,EPIC,0.190318936,0.273473709,0.478912495
CHOL,NK cell,MCPCOUNTER,0.082678464,0.636799566,0.80665648
CHOL,NK cell,QUANTISEQ,0.296934507,0.083237861,0.212686064
CHOL,NK cell,XCELL,-0.16630628,0.339668281,0.55954112
CHOL,Plasmacytoid dendritic cell,XCELL,-0.084873894,0.627845648,0.800698358
CHOL,MDSC,TIDE,0.00699343,0.968195547,0.974358451
GBM,T cell CD4+,(non-regulatory)_QUANTISEQ,-0.210770652,0.013426881,0.046994084
GBM,T cell CD4+,(non-regulatory)_XCELL,0.012845635,0.881567198,0.931857944
GBM,T cell CD4+,central memory_XCELL,-0.072603982,0.399153045,0.575438029
GBM,T cell CD4+,effector memory_XCELL,-0.026240594,0.760841065,0.867716105
GBM,T cell CD4+,memory activated_CIBERSORT,0.055171862,0.521950846,0.683636243
GBM,T cell CD4+,memory activated_CIBERSORT-ABS,0.058307541,0.498535923,0.670011888
GBM,T cell CD4+,memory resting_CIBERSORT,0.095019493,0.269382666,0.464961861
GBM,T cell CD4+,memory resting_CIBERSORT-ABS,0.121461709,0.157395044,0.316801525
GBM,T cell CD4+,memory_XCELL,0.145708479,0.089332961,0.210785704
GBM,T cell CD4+,naive_CIBERSORT,0.110721567,0.197727673,0.37185034
GBM,T cell CD4+,naive_CIBERSORT-ABS,0.109329554,0.203458245,0.379226907
GBM,T cell CD4+,naive_XCELL,-0.056420838,0.51255789,0.674136681
GBM,T cell CD4+,Th1_XCELL,-0.202115473,0.017859242,0.059744547
GBM,T cell CD4+,Th2_XCELL,0.117513268,0.171437885,0.333351443
GBM,T cell CD4+,EPIC,0.137440343,0.109251139,0.241502517
GBM,T cell CD4+,TIMER,0.074953679,0.384028748,0.561341326
GBM,B cell memory,CIBERSORT,0.092409042,0.282818381,0.445937696
GBM,B cell memory,CIBERSORT-ABS,0.098132284,0.253936251,0.415035593
GBM,B cell memory,XCELL,-0.193929027,0.023166084,0.071280258
GBM,B cell naive,CIBERSORT,-0.14331274,0.09478123,0.207513628
GBM,B cell naive,CIBERSORT-ABS,-0.110140372,0.200105944,0.351633809
GBM,B cell naive,XCELL,-0.013571781,0.874925394,0.936363981
GBM,B cell plasma,CIBERSORT,0.088063701,0.306163937,0.474866515
GBM,B cell plasma,CIBERSORT-ABS,0.141300501,0.099557955,0.212539455
GBM,B cell plasma,XCELL,0.004625714,0.957216577,0.976839231
GBM,B cell,EPIC,0.071846718,0.404101841,0.572980222
GBM,B cell,MCPCOUNTER,0.059201505,0.491963121,0.654802053
GBM,B cell,QUANTISEQ,0.016997089,0.843720171,0.914732282
GBM,B cell,TIMER,-0.008804143,0.918671249,0.958620124
GBM,B cell,XCELL,0.00063313,0.994141432,0.997092493
GBM,Class-switched memory B cell,XCELL,0.061545905,0.47494679,0.639999221
GBM,T cell regulatory (Tregs),CIBERSORT,0.035154017,0.683403476,0.795385362
GBM,T cell regulatory (Tregs),CIBERSORT-ABS,0.044818677,0.603032914,0.745211406
GBM,T cell regulatory (Tregs),QUANTISEQ,-0.122685969,0.15322095,0.289671448
GBM,T cell regulatory (Tregs),XCELL,0.058253997,0.498931063,0.662915399
GBM,Macrophage/Monocyte,MCPCOUNTER,0.111923144,0.192875763,0.334551778
GBM,Monocyte,CIBERSORT,0.018780627,0.827564159,0.900825251
GBM,Monocyte,CIBERSORT-ABS,0.054217054,0.529190075,0.683695151
GBM,Monocyte,MCPCOUNTER,0.111923144,0.192875763,0.334551778
GBM,Monocyte,QUANTISEQ,-0.013713525,0.873629914,0.923994388
GBM,Monocyte,XCELL,0.005954889,0.944940141,0.972825818
GBM,Neutrophil,CIBERSORT,-0.002975031,0.972476166,0.989064245
GBM,Neutrophil,CIBERSORT-ABS,0.01071969,0.901058205,0.946706528
GBM,Neutrophil,MCPCOUNTER,0.075772953,0.378837961,0.554311986
GBM,Neutrophil,QUANTISEQ,0.105528027,0.219714928,0.371645464
GBM,Neutrophil,TIMER,0.096822881,0.260357882,0.413969033
GBM,Neutrophil,XCELL,-0.086883779,0.312715157,0.473540095
GBM,Macrophage M0,CIBERSORT,-0.013839193,0.872481639,0.933135443
GBM,Macrophage M0,CIBERSORT-ABS,0.002300673,0.97871338,0.986937862
GBM,Macrophage M1,CIBERSORT,0.002734484,0.974700835,0.986937862
GBM,Macrophage M1,CIBERSORT-ABS,0.030888385,0.720109728,0.852200861
GBM,Macrophage M1,QUANTISEQ,0.032801937,0.703558416,0.840906473
GBM,Macrophage M1,XCELL,-0.012900653,0.881063672,0.933989759
GBM,Macrophage M2,CIBERSORT,-0.143701225,0.093880294,0.223557925
GBM,Macrophage M2,CIBERSORT-ABS,0.062535012,0.467864584,0.648311202
GBM,Macrophage M2,QUANTISEQ,0.076191312,0.376203862,0.561498302
GBM,Macrophage M2,TIDE,-0.177587865,0.037884784,0.111597585
GBM,Macrophage M2,XCELL,0.01298045,0.880333454,0.933989759
GBM,Macrophage,EPIC,-0.019528367,0.820811824,0.908645057
GBM,Macrophage,TIMER,0.03879251,0.652664415,0.809088118
GBM,Macrophage,XCELL,0.009214831,0.91489144,0.95136025
GBM,Macrophage/Monocyte,MCPCOUNTER,0.111923144,0.192875763,0.356078331
GBM,Myeloid dendritic cell activated,CIBERSORT,0.024178504,0.779132208,0.887963373
GBM,Myeloid dendritic cell activated,CIBERSORT-ABS,0.0266552,0.757178974,0.871241191
GBM,Myeloid dendritic cell activated,XCELL,0.081025983,0.346579901,0.56299631
GBM,Myeloid dendritic cell resting,CIBERSORT,-0.028970695,0.736827982,0.863038321
GBM,Myeloid dendritic cell resting,CIBERSORT-ABS,-0.029054138,0.736097899,0.863038321
GBM,Myeloid dendritic cell,MCPCOUNTER,-0.036108293,0.675288535,0.830400234
GBM,Myeloid dendritic cell,QUANTISEQ,0.081080842,0.346252419,0.56299631
GBM,Myeloid dendritic cell,TIMER,0.211110521,0.013274448,0.05776396
GBM,Myeloid dendritic cell,XCELL,-0.008104493,0.925114694,0.965494275
GBM,NK cell activated,CIBERSORT,0.057506317,0.504465869,0.688605502
GBM,NK cell activated,CIBERSORT-ABS,0.097423097,0.257400613,0.460881896
GBM,NK cell resting,CIBERSORT,0.009726503,0.910184889,0.959541143
GBM,NK cell resting,CIBERSORT-ABS,-0.014386381,0.86748491,0.939802562
GBM,NK cell,EPIC,-0.054162229,0.529607273,0.713429685
GBM,NK cell,MCPCOUNTER,-0.125052657,0.145388622,0.314424791
GBM,NK cell,QUANTISEQ,0.025681431,0.765788371,0.8769315
GBM,NK cell,XCELL,-0.109377239,0.203259982,0.398744993
GBM,Plasmacytoid dendritic cell,XCELL,-0.07481237,0.384928386,0.593087084
GBM,MDSC,TIDE,0.058994967,0.493477578,0.606457083
HNSC,T cell CD4+,(non-regulatory)_QUANTISEQ,0.260359512,4.58E-09,9.78E-08
HNSC,T cell CD4+,(non-regulatory)_XCELL,-0.058481198,0.195325502,0.370001665
HNSC,T cell CD4+,central memory_XCELL,0.135109731,0.002673002,0.012382287
HNSC,T cell CD4+,effector memory_XCELL,0.03366438,0.456257268,0.626235466
HNSC,T cell CD4+,memory activated_CIBERSORT,-0.075612473,0.093875651,0.217432573
HNSC,T cell CD4+,memory activated_CIBERSORT-ABS,-0.07598469,0.092264898,0.215201057
HNSC,T cell CD4+,memory resting_CIBERSORT,0.187589265,2.82E-05,0.000250177
HNSC,T cell CD4+,memory resting_CIBERSORT-ABS,0.093867028,0.037399799,0.112736235
HNSC,T cell CD4+,memory_XCELL,0.064383627,0.153884174,0.311726784
HNSC,T cell CD4+,naive_CIBERSORT,0.054979422,0.22348192,0.403420085
HNSC,T cell CD4+,naive_CIBERSORT-ABS,0.055540491,0.218785693,0.398367013
HNSC,T cell CD4+,naive_XCELL,-0.17865424,6.75E-05,0.000500641
HNSC,T cell CD4+,Th1_XCELL,-0.148438974,0.00095836,0.005160399
HNSC,T cell CD4+,Th2_XCELL,-0.007180731,0.873768754,0.931428621
HNSC,T cell CD4+,EPIC,0.315696953,7.56E-13,3.40E-11
HNSC,T cell CD4+,TIMER,-0.228035213,3.18E-07,4.55E-06
HNSC,B cell memory,CIBERSORT,-0.335646686,2.02E-14,2.20E-12
HNSC,B cell memory,CIBERSORT-ABS,-0.337314595,1.48E-14,1.87E-12
HNSC,B cell memory,XCELL,-0.344619568,3.64E-15,6.96E-13
HNSC,B cell naive,CIBERSORT,0.002422679,0.957253056,0.976839231
HNSC,B cell naive,CIBERSORT-ABS,-0.007422161,0.86956189,0.935371575
HNSC,B cell naive,XCELL,-0.095031102,0.035091477,0.097957394
HNSC,B cell plasma,CIBERSORT,-0.03626974,0.422136863,0.590836125
HNSC,B cell plasma,CIBERSORT-ABS,-0.108310765,0.016242864,0.053209383
HNSC,B cell plasma,XCELL,-0.30612544,3.91E-12,2.48E-10
HNSC,B cell,EPIC,-0.340686707,7.77E-15,1.18E-12
HNSC,B cell,MCPCOUNTER,-0.283432751,1.53E-10,6.45E-09
HNSC,B cell,QUANTISEQ,-0.295652001,2.21E-11,1.20E-09
HNSC,B cell,TIMER,0.105805149,0.018900139,0.060353384
HNSC,B cell,XCELL,-0.31951842,3.86E-13,2.93E-11
HNSC,Class-switched memory B cell,XCELL,-0.20087568,7.12E-06,8.82E-05
HNSC,T cell regulatory (Tregs),CIBERSORT,-0.2552877,9.27E-09,2.52E-07
HNSC,T cell regulatory (Tregs),CIBERSORT-ABS,-0.249124003,2.14E-08,5.61E-07
HNSC,T cell regulatory (Tregs),QUANTISEQ,-0.045906885,0.309529531,0.475278856
HNSC,T cell regulatory (Tregs),XCELL,0.067003937,0.137780526,0.267808695
HNSC,Macrophage/Monocyte,MCPCOUNTER,0.07140693,0.113678487,0.231431138
HNSC,Monocyte,CIBERSORT,-0.043115845,0.339897929,0.503900398
HNSC,Monocyte,CIBERSORT-ABS,-0.061374848,0.174089942,0.309854113
HNSC,Monocyte,MCPCOUNTER,0.07140693,0.113678487,0.231431138
HNSC,Monocyte,QUANTISEQ,-0.238215583,8.91E-08,1.09E-06
HNSC,Monocyte,XCELL,0.181434696,5.17E-05,0.000357378
HNSC,Neutrophil,CIBERSORT,0.083992322,0.062660685,0.146515426
HNSC,Neutrophil,CIBERSORT-ABS,0.083508921,0.064192599,0.148042248
HNSC,Neutrophil,MCPCOUNTER,0.204814882,4.65E-06,4.26E-05
HNSC,Neutrophil,QUANTISEQ,0.171584296,0.000130961,0.000855733
HNSC,Neutrophil,TIMER,0.054006404,0.231795799,0.385249465
HNSC,Neutrophil,XCELL,0.069321518,0.124645792,0.247733511
HNSC,Macrophage M0,CIBERSORT,0.196558937,1.12E-05,0.000120494
HNSC,Macrophage M0,CIBERSORT-ABS,0.147854121,0.001004309,0.006086719
HNSC,Macrophage M1,CIBERSORT,0.083194367,0.065205887,0.169117656
HNSC,Macrophage M1,CIBERSORT-ABS,-0.000518491,0.990847325,0.992501494
HNSC,Macrophage M1,QUANTISEQ,0.195309602,1.28E-05,0.000134891
HNSC,Macrophage M1,XCELL,-0.006917798,0.878354345,0.933989759
HNSC,Macrophage M2,CIBERSORT,0.105428207,0.019331057,0.067259569
HNSC,Macrophage M2,CIBERSORT-ABS,0.019081094,0.672878294,0.827309377
HNSC,Macrophage M2,QUANTISEQ,-0.064049939,0.156033315,0.311782416
HNSC,Macrophage M2,TIDE,-0.248179083,2.43E-08,3.56E-07
HNSC,Macrophage M2,XCELL,-0.129299227,0.004068921,0.018925213
HNSC,Macrophage,EPIC,-0.005396472,0.904961674,0.944307834
HNSC,Macrophage,TIMER,0.209957786,2.63E-06,3.36E-05
HNSC,Macrophage,XCELL,0.042120798,0.351170232,0.535623171
HNSC,Macrophage/Monocyte,MCPCOUNTER,0.07140693,0.113678487,0.258152688
HNSC,Myeloid dendritic cell activated,CIBERSORT,0.04288809,0.342457407,0.56010118
HNSC,Myeloid dendritic cell activated,CIBERSORT-ABS,0.023876108,0.59727315,0.775483042
HNSC,Myeloid dendritic cell activated,XCELL,-0.134436804,0.002808626,0.016666064
HNSC,Myeloid dendritic cell resting,CIBERSORT,-0.01074455,0.812093388,0.905408466
HNSC,Myeloid dendritic cell resting,CIBERSORT-ABS,-0.046231034,0.306122147,0.523323098
HNSC,Myeloid dendritic cell,MCPCOUNTER,-0.149406866,0.000886561,0.00606239
HNSC,Myeloid dendritic cell,QUANTISEQ,-0.169016806,0.000165506,0.001485414
HNSC,Myeloid dendritic cell,TIMER,0.277254068,3.92E-10,2.16E-08
HNSC,Myeloid dendritic cell,XCELL,-0.016402983,0.716653657,0.847705644
HNSC,NK cell activated,CIBERSORT,-0.10265668,0.022770547,0.08983106
HNSC,NK cell activated,CIBERSORT-ABS,-0.119828532,0.007796498,0.0375697
HNSC,NK cell resting,CIBERSORT,0.154373843,0.000590182,0.004323984
HNSC,NK cell resting,CIBERSORT-ABS,0.151171192,0.000768321,0.005461927
HNSC,NK cell,EPIC,-0.048535124,0.282618321,0.493722517
HNSC,NK cell,MCPCOUNTER,-0.111591248,0.013261916,0.05776396
HNSC,NK cell,QUANTISEQ,-0.165307364,0.000230745,0.001926453
HNSC,NK cell,XCELL,0.010319349,0.819398965,0.912137142
HNSC,Plasmacytoid dendritic cell,XCELL,-0.17616061,8.56E-05,0.000853271
HNSC,MDSC,TIDE,0.242002251,5.47E-08,7.30E-07
LUAD,T cell CD4+,(non-regulatory)_QUANTISEQ,0.187867505,2.69E-05,0.000245666
LUAD,T cell CD4+,(non-regulatory)_XCELL,0.027395723,0.543948094,0.692297574
LUAD,T cell CD4+,central memory_XCELL,-0.126290709,0.00498127,0.021461401
LUAD,T cell CD4+,effector memory_XCELL,0.100457105,0.025714758,0.081408532
LUAD,T cell CD4+,memory activated_CIBERSORT,-0.139976119,0.001836732,0.00911135
